Year,ID,habitat,sec,State,new.state
2013,902_sh,Shelf,20,Movement,Rove
2013,903_sh,Shelf,137,Movement,Rest
2013,903_sh,Shelf,102,Movement,Rove
2013,904_sh,Shelf,34,Movement,Rove
2013,904_sh,Shelf,73,Movement,Rest
2013,904_sh,Shelf,9,Interaction,Aggression
2013,904_sh,Shelf,20,Movement,Rove
2013,904_sh,Shelf,100,Movement,Rest
2013,905_sh,Shelf,46,Movement,Rest
2013,905_sh,Shelf,18,Movement,Rove
2013,905_sh,Shelf,1,Interaction,Aggression
2013,905_sh,Shelf,8,Movement,Rove
2013,905_sh,Shelf,10,Interaction,Aggression
2013,905_sh,Shelf,3,Interaction,Aggression
2013,905_sh,Shelf,6,Movement,Rove
2013,905_sh,Shelf,14,Movement,Rest
2013,905_sh,Shelf,25,Interaction,Aggression
2013,905_sh,Shelf,4,Interaction,Aggression
2013,905_sh,Shelf,6,Interaction,Aggression
2013,905_sh,Shelf,56,Movement,Rest
